id;name;price;location;description;image
1;Supervisor Berkshire;24124;Applications;Bedfordshire knowledge haptic;De-engineered
2;deposit Director;49065;York Guadeloupe proactive;AI;China Generic Games
3;Avon;1643;innovate purple;Health Pizza District;Spain
4;frictionless;32174;Agent Vista;Directives array;Triple-buffered orchestrate
5;Chips;63950;Arkansas TCP Loan;Hawaii invoice;open-source program RSS
6;impactful context-sensitive;45352;grid-enabled;Soft Cotton best-of-breed;yellow
7;Kids National bypass;23007;payment;driver B2C EXE;Leone
8;Inlet Towels;25842;Steel hacking;SMTP;GB killer
9;synergistic sky Auto;63158;impactful Phased Towels;methodology azure;face
10;Executive;8801;Rial Strategist Metal;panel Account;forecast Computers world-class
